Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
23878,Chronicle of a Death Foretold,Gabriel García Márquez,"Márquez, Gabriel García",Gregory Rabassa,"=""140003471X""","=""9781400034710""",0,3.97,Vintage,Paperback,120,2003,1981,,2016/10/22,to-read,to-read (#12),to-read,,,,0,0
16328,"The Murder of Roger Ackroyd (Hercule Poirot, #4)",Agatha Christie,"Christie, Agatha",,"=""1579126278""","=""9781579126278""",0,4.26,Black Dog & Leventhal Pub,Hardcover,288,2006,1926,,2016/10/22,to-read,to-read (#11),to-read,,,,0,0
243401,"The Franchise Affair (Inspector Alan Grant, #3)",Josephine Tey,"Tey, Josephine",Robert Barnard,"=""0684842564""","=""9780684842561""",0,3.96,Scribner,Paperback,304,1998,1948,,2016/10/22,to-read,to-read (#10),to-read,,,,0,0
27833670,Dark Matter,Blake Crouch,"Crouch, Blake",,"=""1101904224""","=""9781101904220""",3,4.13,Ballantine Books,Hardcover,342,2016,2016,,2016/09/25,thriller,thriller (#2),read,,,,1,0
18893115,All The King's Men,Robert Penn Warren,"Warren, Robert Penn",,"=""""","=""""",4,4.09,Mariner Books Classics,Kindle Edition,662,1996,1946,2016/09/01,2016/09/11,literary-fiction,literary-fiction (#10),read,,,,1,0
22557272,The Girl on the Train,Paula Hawkins,"Hawkins, Paula",,"=""1594633665""","=""9781594633669""",3,3.96,Riverhead Books,Hardcover,336,2015,2015,2016/09/01,2016/09/11,fiction,fiction (#16),read,,,,1,0
29975458,Good as Gone,Amy Gentry,"Gentry, Amy",,"=""0544920953""","=""9780544920958""",2,3.45,Houghton Mifflin Harcourt,Hardcover,273,2016,2016,2016/08/14,2016/08/14,,,read,,,,1,0
28676,American Psycho,Bret Easton Ellis,"Ellis, Bret Easton",,"=""0679735771""","=""9780679735779""",0,3.80,Vintage Contemporaries,Paperback,399,1991,1991,,2016/08/13,to-read,to-read (#9),to-read,,,,0,0
24612118,Fates and Furies,Lauren Groff,"Groff, Lauren",,"=""1594634475""","=""9781594634475""",4,3.59,Riverhead Books,Hardcover,390,2015,2015,,2016/05/10,,,read,,,,1,0
28273975,Chicxulub,T. Coraghessan Boyle,"Boyle, T. Coraghessan",,"=""""","=""""",5,4.47,,Audiobook,,,2004,,2016/03/11,short-stories,short-stories (#1),read,,,,1,0
11989,The Plague,Albert Camus,"Camus, Albert",Stuart Gilbert,"=""""","=""""",0,4.02,Vintage International,Paperback,308,1991,1947,,2016/02/26,classics,classics (#14),read,,,,1,0
331319,An American Tragedy,Theodore Dreiser,"Dreiser, Theodore",Richard R. Lingeman,"=""0451527704""","=""9780451527707""",3,3.97,Signet Classics,Mass Market Paperback,859,2000,1925,2016/01/01,2015/12/06,classics,classics (#13),read,,,,1,0
7624,Lord of the Flies,William Golding,"Golding, William",,"=""0140283331""","=""9780140283334""",4,3.70,Penguin Books ,Paperback,182,1999,1954,,2015/10/03,classics,classics (#10),read,,,,1,0
43945,Portnoy’s Complaint,Philip Roth,"Roth, Philip",,"=""""","=""""",3,3.70,Vintage,Paperback,274,1995,1969,,2015/10/23,literary-fiction,literary-fiction (#4),read,,,,1,0
25147754,Between the World and Me,Ta-Nehisi Coates,"Coates, Ta-Nehisi",,"=""0147520509""","=""9780147520500""",4,4.40,Random House Audio,Audiobook,4,2015,2015,,2015/10/03,non-fiction,non-fiction (#10),read,,,,1,0
1105956,Gomorrah,Roberto Saviano,"Saviano, Roberto",Virginia Jewiss,"=""0374165270""","=""9780374165277""",4,3.80,"Farrar, Straus and Giroux",Hardcover,320,2007,2006,2015/01/01,2015/10/03,true-crime,true-crime (#4),read,,,,1,0
124509,Smilla's Sense of Snow,Peter Høeg,"Høeg, Peter",Tiina Nunnally,"=""0385315147""","=""9780385315142""",0,3.73,Random House Publishing Group,Paperback,480,1995,1992,,2015/07/26,fiction,fiction (#15),read,,,,1,0
21480930,Gone Girl,Gillian Flynn,"Flynn, Gillian",,"=""0553418351""","=""9780553418354""",1,4.15,Broadway Books,Mass Market Paperback,560,2014,2012,,2014/11/22,fiction,fiction (#13),read,,,,1,0
18050134,Trying Not to Try: The Art and Science of Spontaneity,Edward Slingerland,"Slingerland, Edward",,"=""0770437613""","=""9780770437619""",0,3.74,Crown,Hardcover,304,2014,2014,,2014/03/23,"non-fiction, to-read","non-fiction (#9), to-read (#8)",to-read,,,,0,0
18465585,"Dragnet Nation: A Quest for Privacy, Security, and Freedom in a World of Relentless Surveillance",Julia Angwin,"Angwin, Julia",,"=""0805098070""","=""9780805098075""",0,3.68,Times Books,Hardcover,304,2014,2014,,2014/03/23,"to-read, non-fiction","to-read (#7), non-fiction (#8)",to-read,,,,0,0
2657,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,"=""0060935464""","=""9780060935467""",4,4.26,Harper Perennial Modern Classics ,Paperback,323,2006,1960,,2014/03/04,classics,classics (#9),read,,,,1,0
256008,"Lonesome Dove (Lonesome Dove, #1)",Larry McMurtry,"McMurtry, Larry",,"=""067168390X""","=""9780671683900""",5,4.58,Pocket Books,Mass Market Paperback,960,1999,1985,2014/02/01,2011/10/09,,,read,,,,1,0
168642,In Cold Blood,Truman Capote,"Capote, Truman",,"=""0679745580""","=""9780679745587""",4,4.09,Vintage,Paperback,343,1994,1966,2012/12/21,2012/12/21,true-crime,true-crime (#2),read,,,,1,0
32234,White Oleander,Janet Fitch,"Fitch, Janet",,"=""0316182540""","=""9780316182546""",0,4.00,"Little, Brown and Company",Mass Market Paperback,446,2001,1999,,2013/12/01,to-read,to-read (#6),to-read,,,,0,0
227711,I Know This Much Is True,Wally Lamb,"Lamb, Wally",,"=""0060987561""","=""9780060987565""",0,4.21,HarpPeren,Paperback,897,1999,1998,,2013/12/01,to-read,to-read (#5),to-read,,,,0,0
10917,My Sister's Keeper,Jodi Picoult,"Picoult, Jodi",,"=""0743454537""","=""9780743454537""",0,4.11,Atria/Emily Bestler Books,Paperback,423,2005,2004,,2013/12/01,to-read,to-read (#4),to-read,,,,0,0
17262100,The Lowland,Jhumpa Lahiri,"Lahiri, Jhumpa",,"=""0307265749""","=""9780307265746""",1,3.88,Knopf,Hardcover,340,2013,2013,2013/12/01,2013/11/27,fiction,fiction (#10),read,,,,1,0
16158498,Give and Take: A Revolutionary Approach to Success,Adam M. Grant,"Grant, Adam M.",,"=""0670026557""","=""9780670026555""",3,4.07,Viking,Hardcover,320,2013,2013,,2013/10/20,non-fiction,non-fiction (#4),read,,,,1,0
908311,The Female Man,Joanna Russ,"Russ, Joanna",,"=""0807063134""","=""9780807063132""",2,3.46,Beacon Press,Paperback,214,1997,1975,,2013/10/20,sci-fi,sci-fi (#2),read,,,,1,0
25354,Bastard Out of Carolina,Dorothy Allison,"Allison, Dorothy",,"=""0452287057""","=""9780452287051""",5,4.14,Plume,Mass Market Paperback,320,2005,1992,,2013/10/20,,,read,,,,1,0
15701217,The Woman Upstairs,Claire Messud,"Messud, Claire",,"=""0307596907""","=""9780307596901""",1,3.31,A. A. Knopf,Hardcover,253,2013,2013,2013/06/30,2013/06/30,fiction,fiction (#9),read,,,,1,0
7667756,The Good Son,Michael Gruber,"Gruber, Michael",,"=""0805091289""","=""9780805091281""",3,3.79,Henry Holt and Co.,Hardcover,400,2010,2009,,2013/02/01,thriller,thriller (#1),read,,,,1,0
6658129,Tokyo Vice: An American Reporter on the Police Beat in Japan,Jake Adelstein,"Adelstein, Jake",,"=""0307378799""","=""9780307378798""",0,3.90,Pantheon,Hardcover,335,2009,2009,,2013/01/24,to-read,to-read (#3),to-read,,,,0,0
12262741,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,"Strayed, Cheryl",,"=""0307592731""","=""9780307592736""",4,4.07,Knopf,Hardcover,336,2012,2012,,2012/11/19,,,read,,,,1,0
52036,Siddhartha,Hermann Hesse,"Hesse, Hermann",Hilda Rosner,"=""""","=""""",4,4.08,Bantam Books,Mass Market Paperback,152,1981,1922,2012/10/01,2011/11/06,classics,classics (#5),read,,,,1,0
